"eventId","day","participantId","cohortId","action","originProject","destinationProject","requestedAmount","unit","executedAmount","sharesBurned","sharesMinted","gross","net","feesCCLX","currency","provenance","status","rejectionReason","capitalNew","capitalRecycled","cannibalizedCapital"
"e78","27","u00019","active_user","deposit","wallet","mangrove","122.16276673189329","CCLX","122.16276673189329","0","123.76662064041011","122.16276673189329","121.9184411984295","0.24432553346378658","CCLX","unrestricted","executed","","122.16276673189329","0",""
"e79","27","u00039","active_user","migration","forest","mangrove","2.7060652256944784","receipts","3.0105829498046077","2.7060652256944784","3.0500789247453213","3.0166161821689457","3.0045617839049985","0.012054398263947108","CCLX","unrestricted","executed","","0","3.0105829498046077","3.0105829498046077"
"e80","27","u00157","rebalancer","deposit","wallet","forest","144.99848232126368","CCLX","144.99848232126368","0","129.8103230590932","144.99848232126368","144.70848535662114","0.2899969646425274","CCLX","unrestricted","executed","","144.99848232126368","0",""
"e82","27","u00236","active_user","withdraw","solar","wallet","25.646871300333668","receipts","30.46318815320451","25.646871300333668","0","30.524236626457423","30.46318815320451","0.06104847325291485","CCLX","unrestricted","executed","","0","30.46318815320451",""
"e83","28","u00235","whale","deposit","wallet","solar","1182.9261557737373","CCLX","1182.9261557737373","0","991.8903240542859","1182.9261557737373","1180.5603034621897","2.3658523115474748","CCLX","unrestricted","executed","","1182.9261557737373","0",""
"e84","28","u00271","long_term","deposit","wallet","solar","61.58216242012761","CCLX","61.58216242012761","0","51.635183338075876","61.58216242012761","61.458998095287356","0.12316432484025522","CCLX","unrestricted","executed","","61.58216242012761","0",""
"e85","28","u00169","active_user","withdraw","solar","wallet","59.3524790848946","receipts","70.50323503809422","59.3524790848946","0","70.64452408626676","70.50323503809422","0.14128904817253352","CCLX","unrestricted","executed","","0","70.50323503809422",""
"e86","29","u00114","active_user","deposit","wallet","solar","13.842594025802851","CCLX","13.842594025802851","0","11.606708575040102","13.842594025802851","13.814908837751245","0.027685188051605702","CCLX","unrestricted","executed","","13.842594025802851","0",""
"e89","30","u00181","rebalancer","migration","forest","solar","1.7930880959883493","receipts","1.9948944775881245","1.7930880959883493","1.6726741008460522","1.9988922621123493","1.9909046886329482","0.007987573479400947","CCLX","unrestricted","executed","","0","1.9948944775881245","1.9948944775881245"
"e90","30","u00193","active_user","deposit","wallet","mangrove","41.24185799469594","CCLX","41.24185799469594","0","41.78276918642223","41.24185799469594","41.15937427870655","0.08248371598939189","CCLX","unrestricted","executed","","41.24185799469594","0",""
"e91","30","u00194","active_user","deposit","wallet","solar","33.83551888727191","CCLX","33.83551888727191","0","28.370292065665126","33.83551888727191","33.767847849497365","0.06767103777454382","CCLX","unrestricted","executed","","33.83551888727191","0",""
"e93","31","u00130","rebalancer","deposit","wallet","forest","66.093650370425","CCLX","66.093650370425","0","59.16994687728584","66.093650370425","65.96146306968414","0.13218730074085","CCLX","unrestricted","executed","","66.093650370425","0",""
